Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_loc,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,981,Kangaroo,M,J,,3,07:42:31,07:42:33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,>15m,1,0,,,,,,,,
Q2,QC6,Right,26/4/2024,Control,,-0.3,0,0,0.9353,982,Wallaby,M,,,3,18:47:49,18:47:51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10-15m,1,0,,,,,,,,
Q2,QC6,Right,26/4/2024,Control,,-0.3,0,0,0.9353,983,Wallaby,M,,,3,18:53:00,18:53:02,0,0,0,0,0,0,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,>15m,1,0.666666667,,,,,,,,
Q2,QC6,Right,26/4/2024,Control,,-0.3,0,0,0.9353,984,Wallaby,M,,,3,18:53:00,18:53:02,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q2,QC6,Right,26/4/2024,Control,,-0.3,0,0,0.9353,985,Kangaroo,M,F,,5,23:38:37,23:38:43,0,0.6,0,0.6,0,0.2,0,0.2,0,1,0,0,0,0,0,0,0.6,0,0,0,5-10m,0,0.4,,,,,,,,
Q2,QC6,Right,26/4/2024,Control,,-0.3,0,0,0.9353,986,Kangaroo,S,J,,4,23:38:42,23:38:45,0,0.25,0,0.25,0,0.25,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0.25,5-10m,0,0.5,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,987,Kangaroo,M,,,3,19:38:21,19:38:23,0,0,0,0,0,1,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,988,Kangaroo,M,,,3,19:38:21,19:38:23,0,0.666666667,0,0.333333333,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,10-15m,1,0,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,989,Wallaby,S,J,,2,22:10:06,22:10:07,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,990,Wallaby,M,,,3,22:10:06,22:10:08,0.666666667,0,0,0,0.666666667,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,0.333333333,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,991,Wallaby,M,,,6,22:20:54,22:20:59,0,0.5,0,0,0.5,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,<5m,0,0,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,992,Wallaby,M,,,6,22:20:54,22:20:59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5-10m,0,0,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,993,Wallaby,M,F,,3,22:32:51,22:32:53,0,0,0,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0.666666667,<5m,0,0.333333333,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,994,Wallaby,M,,,3,22:32:51,22:32:53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10-15m,1,0,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,995,Wallaby,M,,,3,22:32:51,22:32:53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,>15m,1,0,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,996,Wallaby,M,,,3,22:58:28,22:58:30,0,0,0,0,0,0,1,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,27/4/2024,Thylacine,,3.6,0,0,0.8757,997,Wallaby,S,,,3,22:58:28,22:58:30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10-15m,1,0,,,,,,,,
Q2,QC6,Right,28/4/2024,Thylacine,,3.6,0,0,0.8757,998,Wallaby,M,,,7,00:16:37,00:25:07,0,0,0,0,0,0,0,0.428571429,0,1,0,0,0.857142857,0,0,0,0,0,0,0,5-10m,0,0.428571429,,,,,,,,
Q2,QC6,Right,28/4/2024,Thylacine,,3.6,0,0,0.8757,999,Kangaroo,M,J,,15,03:19:21,03:21:23,0.133333333,0.533333333,0,0.6,0.066666667,0.133333333,0.066666667,0.133333333,0,0.466666667,0.533333333,0,0,0,0,0,0.533333333,0,0,0,10-15m,1,0.333333333,,,,,,,,
Q2,QC6,Right,28/4/2024,Thylacine,,3.6,0,0,0.8757,1000,Kangaroo,M,J,,8,03:21:08,03:21:23,0,0.25,0.125,0.375,0,0,0,0.625,0,0.25,0.75,0,0,0,0,0,0.375,0,0,0,10-15m,1,0.625,,,,,,,,
Q2,QC6,Right,29/4/2024,Goat,,3.5,7,0,0.7985,1001,Kangaroo,M,,,5,04:33:35,04:33:54,0,0.2,0.2,0.4,0,0.2,0,0.4,0,1,0,0,0,0,0,0,0.4,0,0,0,5-10m,0,0.6,,,,,,,,
